,crime_type,crime_category,date,address,y_lon,x_lat,neighborhood
242715,homicide-other,murder,2021-07-24 02:27:00,4955 E DONALD AVE,-104.928385,39.6761784,goldsmith
242716,homicide-other,murder,2017-07-31 06:05:00,1500 BLK WYNKOOP ST,-105.0017862,39.7510333,union-station
242717,homicide-other,murder,2021-01-17 02:28:00,,-105.0376512,39.7163587,barnum
242718,homicide-other,murder,2018-03-18 17:18:00,1849 W MOSIER PL,-105.0094862,39.6961024,ruby-hill
242719,homicide-other,murder,2021-11-01 01:22:00,,-104.7568823,39.7751769,gateway-green-valley-ranch
242720,homicide-other,murder,2021-10-25 17:51:00,3600 BLK N MONACO ST,-104.9132669,39.7689856,northeast-park-hill
242721,homicide-other,murder,2022-01-01 04:27:00,1919 BLAKE ST,-104.9954174,39.7538777,union-station
242722,homicide-other,murder,2020-07-25 21:37:00,3200 BLK N HUDSON ST,-104.9238814,39.7634762,northeast-park-hill
242723,homicide-other,murder,2021-09-03 19:37:00,,-104.8283411,39.791106,montbello
242724,homicide-other,murder,2021-05-28 03:39:00,,-104.9847685,39.7340547,capitol-hill
242725,homicide-other,murder,2020-04-23 01:40:00,,-104.8164245,39.7880698,montbello
242726,homicide-other,murder,2019-08-09 03:03:00,,-104.8856137,39.7954954,central-park
242727,homicide-other,murder,2017-06-16 08:40:00,2400 BLOCK CURTIS ST,-104.9848621,39.7547242,five-points
242728,homicide-other,murder,2021-12-27 22:14:00,1201 N WILLIAMS ST,-104.9665407,39.7365842,cheesman-park
242729,homicide-other,murder,2017-07-14 02:47:00,4200 BLOCK N MILWAUKEE ST,-104.9516237,39.7752952,elyria-swansea
242730,homicide-other,murder,2020-04-09 14:48:00,,-104.9450494,39.7572665,skyland
242731,homicide-other,murder,2019-03-22 03:31:00,3298 N HUDSON ST,-104.9238814,39.7634762,northeast-park-hill
242732,homicide-other,murder,2021-12-27 18:22:00,,-104.9873028,39.7176463,speer
242733,homicide-other,murder,2021-06-11 01:01:00,2300 BLOCK CURTIS ST,-104.9856914,39.7541513,five-points
242734,homicide-other,murder,2019-02-27 23:24:00,,-104.9962563,39.7356199,lincoln-park
242735,homicide-other,murder,2020-05-28 20:32:00,1545 S BROADWAY ST,-104.9879204,39.6885542,overland
242736,homicide-other,murder,2020-12-07 07:49:00,4400 BLK N GROVE ST,-105.0265925,39.7769108,berkeley
242737,homicide-other,murder,2017-04-21 20:22:00,,-105.0551655,39.6787882,harvey-park
242738,homicide-other,murder,2019-03-04 02:40:00,2111 W CENTER AVE,-105.0124603,39.7058743,athmar-park
242739,homicide-other,murder,2019-01-31 18:27:00,3600 BLK W COLFAX AVE,-105.0354727,39.7398854,west-colfax
242740,homicide-other,murder,2018-05-25 08:02:00,1040 14TH ST,-104.9976915,39.7447375,cbd
242741,homicide-other,murder,2017-02-14 16:01:00,3735 N YORK ST,-104.9600982,39.7688501,cole
242742,homicide-other,murder,2021-07-18 02:46:00,,-104.9926028,39.7545382,five-points
242743,homicide-other,murder,2019-08-10 20:09:00,1980 S QUEBEC ST,-104.9026578,39.6809757,indian-creek
242744,homicide-other,murder,2018-05-30 12:11:00,,-2.4e-06,1.2e-06,dia
242745,homicide-other,murder,2018-01-26 20:15:00,,-105.0247788,39.710147,athmar-park
242746,homicide-other,murder,2017-12-31 04:08:00,214 S FEDERAL BLVD,-105.0246762,39.7127025,valverde
242747,homicide-other,murder,2018-08-09 12:00:00,765 S BROADWAY ST,-104.9880304,39.702704,baker
242748,homicide-other,murder,2017-11-23 22:58:00,1571 S PATTON CT,-105.0393544,39.6881273,mar-lee
242749,homicide-other,murder,2021-04-10 06:57:00,,-105.0322047,39.702048,westwood
242750,homicide-other,murder,2017-01-25 01:47:00,3927 MORRISON RD,-105.0395243,39.7066395,westwood
242751,homicide-other,murder,2017-05-16 00:10:00,,-104.89674,39.6464967,hampden-south
242752,homicide-other,murder,2020-09-05 20:38:00,1000 BLOCK S QUIVAS ST,-105.0065129,39.697965,athmar-park
242753,homicide-other,murder,2018-03-12 05:31:00,,-105.0267428,39.6682203,harvey-park
242754,homicide-other,murder,2018-09-26 21:00:00,,-104.8849887,39.7377621,east-colfax
242755,homicide-other,murder,2017-08-16 22:51:00,550 N ALTON WAY,-104.8791923,39.7233353,lowry-field
242756,homicide-other,murder,2017-07-19 03:35:00,35TH ST / WALNUT ST,-104.9753652,39.7676234,five-points
242757,homicide-other,murder,2019-08-09 08:17:00,12485 E ALBROOK DR,-104.8434996,39.7817286,montbello
242758,homicide-other,murder,2017-07-29 17:19:00,3250 W SARATOGA AVE,-105.0287668,39.6281216,fort-logan
242759,homicide-other,murder,2020-03-21 18:31:00,,-104.8059542,39.7925135,gateway-green-valley-ranch
242760,homicide-other,murder,2020-07-03 21:27:00,,-104.9077362,39.740635,south-park-hill
242761,homicide-other,murder,2020-06-10 15:52:00,3000 BLK N FOX ST,-104.9957585,39.7598556,five-points
242762,homicide-other,murder,2018-06-16 22:39:00,1881 CURTIS ST,-104.9916478,39.7498782,cbd
242763,homicide-other,murder,2021-07-31 04:24:00,67 N QUITMAN ST,-105.0412462,39.7178004,barnum-west
242764,homicide-other,murder,2021-05-01 02:34:00,,-104.7394946,39.7814679,gateway-green-valley-ranch
242765,homicide-other,murder,2021-04-01 16:48:00,,-105.0247502,39.7106932,athmar-park
242766,homicide-other,murder,2020-06-17 14:44:00,,-104.8884987,39.7450608,east-colfax
242767,homicide-other,murder,2020-11-12 09:22:00,4720 N FILLMORE ST,-104.9525873,39.7822067,elyria-swansea
242768,homicide-other,murder,2020-10-10 16:29:00,10 W 14TH AVE,-104.9882243,39.7375179,civic-center
242769,homicide-other,murder,2018-03-16 00:07:00,600 BLK 17TH ST,-104.9897577,39.7461941,cbd
242770,homicide-other,murder,2018-01-31 00:23:00,2100 BLOCK ARAPAHOE ST,-104.9889616,39.7529549,five-points
242771,homicide-other,murder,2021-02-10 23:45:00,E 17TH AVE / N UINTA ST,-104.892859,39.7437904,east-colfax
242772,homicide-other,murder,2021-10-14 23:17:00,,-104.9018842,39.7284053,lowry-field
242773,homicide-other,murder,2019-09-21 10:08:00,,-104.7681627,39.7780368,gateway-green-valley-ranch
242774,homicide-other,murder,2019-06-20 18:27:00,,-105.0328247,39.7167625,barnum
242775,homicide-other,murder,2017-01-31 23:10:00,16TH ST / WYNKOOP ST,-105.0009193,39.7519054,union-station
242776,homicide-other,murder,2020-08-05 05:35:00,,-104.7804884,39.7931925,gateway-green-valley-ranch
242777,homicide-other,murder,2019-09-15 22:09:00,,-104.8905506,39.7401547,east-colfax
242778,homicide-other,murder,2021-06-21 05:42:00,,-104.8748421,39.6713267,hampden
242779,homicide-other,murder,2021-07-17 10:43:00,,-104.9458953,39.7397914,congress-park
